author,followers,date,message,hashtags,retweet,location,score,sentiment,likes,popularity score,reach score,relevance score,company,sector
mannilotrader,30,2022-11-28 08:14:16+00:00,"Tras el fiasco de FTX, JPMorgan hace la apuesta crypto más grande de su historia https://t.co/6KUjcJsynA",None,0,BingX invitation code: 5UHMMQ,-0.5106,negative,254,254,-75,353,JPMorgan Chase & Co.,Financial Services
jaiye7777,2683,2022-11-28 08:09:18+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,59990,64224,4,87824,JPMorgan Chase & Co.,Financial Services
VHS_Jon,25,2022-11-28 08:09:07+00:00,"@pwnwtfbbq Aka: crime, fraud, naked shorting via ETFs, hiding FTDs in SWAPS, rehypification, cellar boxing,… https://t.co/wVXPhmCr74",None,0,,-0.8591,negative,5316,5316,-51,6438,JPMorgan Chase & Co.,Financial Services
sasha_sue87,13514,2022-11-28 08:08:30+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Iowa, USA",-0.5859,negative,19387,23621,3780,30202,JPMorgan Chase & Co.,Financial Services
LibertyLou4,1048,2022-11-28 08:08:09+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Orlando, FL",-0.5859,negative,13885,18119,-1846,39705,JPMorgan Chase & Co.,Financial Services
RiskUniverse,1106,2022-11-28 08:08:05+00:00,"JPMorgan and Deutsche Bank sued by Epstein victims.

via @FinancialTimes 
#PrivateBanking #WealthManagement #bank… https://t.co/cjtgTG1ykJ",Privatebanking,0,Birmingham,-0.3182,negative,72,72,-291,1026,JPMorgan Chase & Co.,Financial Services
TheHeroComplex7,36,2022-11-28 08:05:50+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,TX,-0.5859,negative,1032,5266,-263,5593,JPMorgan Chase & Co.,Financial Services
Clarenc80146536,4,2022-11-28 08:03:37+00:00,JPMorgan: Global Regulation Urgently Needed for Banks to Help Clients Invest in Crypto. #TechTrees $TTC,Techtrees,0,,0.4019,positive,1123,1123,-28,1810,JPMorgan Chase & Co.,Financial Services
UsMarketNews,307,2022-11-28 08:02:04+00:00,$BUD ↑upgrade JPMorgan Upgrades Anheuser-Busch InBev (BUD) to Overweight,None,0,,-0.3612,negative,0,0,307,16112,JPMorgan Chase & Co.,Financial Services
rjcruthers,1734,2022-11-28 08:01:16+00:00,"RT @Loveon999: 🤩 Epstein victims sue Deutsche and JPMorgan!⚡️ Filed by women anonymized as “Jane Doe,” the lawsuits were filed in the SDNY…",None,129,"Liverpool, England",-0.4926,negative,13497,13626,398,50199,JPMorgan Chase & Co.,Financial Services
AlbertaEmma3,5,2022-11-28 08:00:58+00:00,JPMorgan CEO Jamie Dimon Warns of Incoming Economic Hurricane — Says 'You Better Brace Yourself'. #TechTrees $TTC https://t.co/qGQ5GkOPxI,Techtrees,0,,0.3612,positive,3414,3414,-18,4789,JPMorgan Chase & Co.,Financial Services
paymentscm,4095,2022-11-28 08:00:01+00:00,@jpmorgan’s application for a trademark for a digital crypto wallet with crypto features has been awarded by the U.… https://t.co/e1I9KWNeud,None,0,"London, England",0.4019,positive,48,48,3577,6034,JPMorgan Chase & Co.,Financial Services
kvndyxo,59,2022-11-28 07:58:52+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Germany,-0.5859,negative,5813,10047,5,15987,JPMorgan Chase & Co.,Financial Services
TheCashQB,72,2022-11-28 07:56:23+00:00,RT @MsBlaireWhite: Here is your friendly reminder that JPMorgan closed Kanye West’s bank account but not Jeffrey Epstein’s.,None,7409,"Louisiana, USA",0.2732,positive,5950,13359,-620,14841,JPMorgan Chase & Co.,Financial Services
TititeIDE21,564,2022-11-28 07:53:31+00:00,"RT @Fbc_Pt: Deux grandes banques sont poursuivies en justice par les victimes du défunt financier et du trafiquant sexuel condamné, Jeffrey…",None,6,,0.5267,positive,70139,70145,212,113273,JPMorgan Chase & Co.,Financial Services
JenRational,241,2022-11-28 07:52:52+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,In Your Head,-0.5859,negative,8,4242,232,5932,JPMorgan Chase & Co.,Financial Services
Great_Despair,63,2022-11-28 07:51:07+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Erf,-0.5859,negative,2339,6573,-74,7796,JPMorgan Chase & Co.,Financial Services
CryptoTraderPro,36687,2022-11-28 07:50:16+00:00,CRYPTO NEWS: JPMorgan discusses prospect of China's reopening and foreign exchange - CNBC https://t.co/EVOvLW7oFr 🙋… https://t.co/PQaiUR52DX,None,0,🇺🇸,0.296,positive,179,179,18495,2526425,JPMorgan Chase & Co.,Financial Services
JaleaRoyal,55,2022-11-28 07:48:45+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Mi casa,-0.5859,negative,3490,7724,-31,8901,JPMorgan Chase & Co.,Financial Services
ShannelsViews,242,2022-11-28 07:48:16+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"East Ham, London",-0.5859,negative,17847,22081,-1297,26435,JPMorgan Chase & Co.,Financial Services
nokubrijoe8214,2649,2022-11-28 07:44:08+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,🪐🌍,-0.5859,negative,40824,45058,1754,71247,JPMorgan Chase & Co.,Financial Services
is6ss_,224,2022-11-28 07:44:06+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,3913,8147,64,101335,JPMorgan Chase & Co.,Financial Services
TessSophia6,2,2022-11-28 07:43:47+00:00,JPMorgan: China’s Metaverse-Related Economy Could Reach $4T #BinanceTTC $TTC #TTC #TechTreesCoin,Binancettc,0,,0.0258,positive,120,120,-28,189,JPMorgan Chase & Co.,Financial Services
lisalduffy,5,2022-11-28 07:43:29+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,up nort' a ways,-0.5859,negative,283,4517,-136,4644,JPMorgan Chase & Co.,Financial Services
sarahleerob,759,2022-11-28 07:37:17+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,573,-0.5859,negative,17008,21242,269,32577,JPMorgan Chase & Co.,Financial Services
howtobuybest,1330,2022-11-28 07:36:07+00:00,Buzzing #Stock: Oil marketing shares gush gains as JPMorgan gives sector the thumbs-up https://t.co/mn7Bakl1Ss,Stock,0,,0.5574,positive,0,0,1135,63984,JPMorgan Chase & Co.,Financial Services
_soulsaved,375,2022-11-28 07:30:36+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Brooklyn, NY",-0.5859,negative,38774,43008,115,82319,JPMorgan Chase & Co.,Financial Services
SweetTexasGirl_,593,2022-11-28 07:29:34+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Great state of Texas❤,-0.5859,negative,43867,48101,-1692,63010,JPMorgan Chase & Co.,Financial Services
us_ophired,36,2022-11-28 07:24:21+00:00,"United States Job Vacancies For :
Front End Developer - JPMorgan Chase Bank, N.A. | Ophired

As an experienced memb… https://t.co/gnrrvXwSqq",None,0,United States,0.4215,positive,3,3,31,2695,JPMorgan Chase & Co.,Financial Services
aylinialpini,37,2022-11-28 07:23:15+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,🫧Bali 🫧Istanbul🫧 Hamburg🫧 ,-0.5859,negative,696,4930,-58,5171,JPMorgan Chase & Co.,Financial Services
PlastaBrian,234,2022-11-28 07:22:43+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Cameroon,-0.5859,negative,5544,9778,-187,12943,JPMorgan Chase & Co.,Financial Services
JackieD23444532,3276,2022-11-28 07:22:06+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,🇿🇦,-0.5859,negative,208043,212277,-56,417272,JPMorgan Chase & Co.,Financial Services
wuhokay,10702,2022-11-28 07:21:33+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,36813,41047,-287,107901,JPMorgan Chase & Co.,Financial Services
BrittanyRChild,12,2022-11-28 07:20:19+00:00,RT @BrittanyRChild: @BillClinton @HillaryClinton @HumaAbedin @mirraj2 Please aid negotiations for presentations with Peter Thiel and Ariane…,None,1,"LA, SF, PARIS, LONDON, NYC, CA",0.3182,positive,490,491,-214,882,JPMorgan Chase & Co.,Financial Services
Davidisfoxy,172,2022-11-28 07:19:14+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Arlington, TX",-0.5859,negative,11420,15654,-25,30185,JPMorgan Chase & Co.,Financial Services
mvelo_dlamini,1857,2022-11-28 07:15:15+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"London, England",-0.5859,negative,46266,50500,154,76198,JPMorgan Chase & Co.,Financial Services
2njtd65rhx,113,2022-11-28 07:14:41+00:00,"RT @elizableu: Survivors of Jeffrey Epstein filed lawsuits against Deutsche Bank AG and JPMorgan Chase &amp; Co today. 

The banks financially…",None,3190,,-0.1531,negative,1723,4913,-577,6179,JPMorgan Chase & Co.,Financial Services
wellnessFR,3100,2022-11-28 07:11:21+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Europe,-0.5859,negative,323372,327606,-1798,508907,JPMorgan Chase & Co.,Financial Services
JoviLeMonstre,58924,2022-11-28 07:08:51+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Cameroon 🇨🇲,-0.5859,negative,50356,54590,58851,121192,JPMorgan Chase & Co.,Financial Services
chad_oliphant,161,2022-11-28 07:05:05+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,24949,29183,-786,30522,JPMorgan Chase & Co.,Financial Services
SusanChubb1,8995,2022-11-28 07:01:31+00:00,"RT @Loveon999: 4/ The accusations against JPMorgan lean heavily on the close relationship between Staley and Epstein, his private banker at…",None,6,,-0.3182,negative,364064,364070,-824,745946,JPMorgan Chase & Co.,Financial Services
LosentHim,217,2022-11-28 07:01:19+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Lost in the World ,-0.5859,negative,14028,18262,-418,19402,JPMorgan Chase & Co.,Financial Services
JoelWotshowadi1,272,2022-11-28 06:59:57+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Belgique,-0.5859,negative,36509,40743,58,43341,JPMorgan Chase & Co.,Financial Services
saritaleonn,134,2022-11-28 06:58:01+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"San Francisco, CA",-0.5859,negative,7328,11562,-65,16833,JPMorgan Chase & Co.,Financial Services
norfolkgirly,1714,2022-11-28 06:56:57+00:00,RT @chicchan: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and gir…,None,17,Norfolk England,-0.5859,negative,15586,15603,-554,72067,JPMorgan Chase & Co.,Financial Services
t_ripley,702,2022-11-28 06:56:42+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,Maryland ,-0.5859,negative,16686,20920,239,139836,JPMorgan Chase & Co.,Financial Services
MycoWazon,219,2022-11-28 06:56:35+00:00,@jpmorgan care to comment ? https://t.co/1ThK0Ji5pP,None,0,STANKONIA ,0.4939,positive,2061,2061,-601,21982,JPMorgan Chase & Co.,Financial Services
rossosiffredi,85,2022-11-28 06:51:14+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Paris, France",-0.5859,negative,34237,38471,-22,90793,JPMorgan Chase & Co.,Financial Services
BahmanSahman,28,2022-11-28 06:50:50+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,1276,5510,-81,5743,JPMorgan Chase & Co.,Financial Services
0nlyBanz,61,2022-11-28 06:49:41+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Pittsburgh, PA",-0.5859,negative,693,4927,-220,5397,JPMorgan Chase & Co.,Financial Services
westchampagne1,106,2022-11-28 06:47:12+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,"Port harcourt, Rivers state ",-0.5859,negative,3205,7439,-271,10455,JPMorgan Chase & Co.,Financial Services
Rishika19801433,48,2022-11-28 06:47:01+00:00,"#Oilmarketing shares gush gains as #JPMorgan gives sector the thumbs-up

Analysts at #JPMorgan feel good days are c… https://t.co/VzUcQEyQfq",Oilmarketing,0,,0.7579,positive,101,101,-118,100,JPMorgan Chase & Co.,Financial Services
eolosotho,7,2022-11-28 06:46:19+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,333,4567,-83,4501,JPMorgan Chase & Co.,Financial Services
Turpinstanpage,2,2022-11-28 06:45:24+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,115,4349,0,4371,JPMorgan Chase & Co.,Financial Services
TaeTrizzy,3111,2022-11-28 06:45:05+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,,-0.5859,negative,2469,6703,-692,17149,JPMorgan Chase & Co.,Financial Services
almaulud_m,320,2022-11-28 06:44:48+00:00,"Headline Inflation Guesses

SocGen 8.1%
BNP Paribas 8%
Deutsche Bank 8%
Morgan Stanley 8%
StanChart 8%
Wells 8%
Cit… https://t.co/WMFWrVlGOF",None,0,United States,0.25,positive,27,27,256,321,JPMorgan Chase & Co.,Financial Services
whynot11177,281,2022-11-28 06:44:20+00:00,RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,None,4234,iceland,-0.5859,negative,32310,36544,33,65206,JPMorgan Chase & Co.,Financial Services
atherinhor,466,2022-11-28 08:17:14+00:00,"RT @GiftBetterUK: IT’S #CYBERMONDAY i!  🖥👾

And we have a £25 Vanilla MasterCard up for grabs! https://t.co/5hCc2XfEOV

For your chance to…",Cybermonday,61,,0.3786,positive,23192,23253,-3205,68056,Mastercard,Financial Services
moonray69,936,2022-11-28 08:16:20+00:00,"RT @GiftBetterUK: IT’S #CYBERMONDAY i!  🖥👾

And we have a £25 Vanilla MasterCard up for grabs! https://t.co/5hCc2XfEOV

For your chance to…",Cybermonday,61,"South East, England",0.3786,positive,23086,23147,-3948,87777,Mastercard,Financial Services
tmj_inp_jobs,1163,2022-11-28 08:16:12+00:00,"Want to land a job like ""BizOps Engineer II"" at Mastercard? Applicant tracking systems look for specific keywords.… https://t.co/AG2IU8OMtL",None,0,"Pune, India",0.4215,positive,0,0,906,1861,Mastercard,Financial Services
Knightx99996542,2,2022-11-28 08:15:46+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,62,131,-9,168,Mastercard,Financial Services
Nielsen97696857,1,2022-11-28 08:15:32+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,82,151,-12,206,Mastercard,Financial Services
Jeffers01174637,1,2022-11-28 08:15:28+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,73,142,-10,188,Mastercard,Financial Services
Espinoz33574854,1,2022-11-28 08:15:25+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,76,145,-11,193,Mastercard,Financial Services
Bridges53231970,1,2022-11-28 08:15:11+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,81,150,-10,210,Mastercard,Financial Services
Sparkst33045599,0,2022-11-28 08:14:52+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,75,144,-12,193,Mastercard,Financial Services
Jackson11378336,2,2022-11-28 08:14:01+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,80,149,-10,215,Mastercard,Financial Services
7Rado7,97,2022-11-28 08:13:58+00:00,"RT @bridge_oracle: ⚡️We are thrilled to announce that now you can change your Euro, Dollar, Pound &amp; etc. for #BRG in only a snap of a finge…",Brg,35,,0.4404,positive,175,210,67,360,Mastercard,Financial Services
haserot_arts,0,2022-11-28 08:13:31+00:00,@gcashofficial ok na po ba ung gcash mastercard payment for usage?,None,0,,-0.34,negative,2082,2082,-59,2170,Mastercard,Financial Services
Normanv22862916,1,2022-11-28 08:13:20+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,78,147,-11,200,Mastercard,Financial Services
Whiteee85928659,1,2022-11-28 08:13:14+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,107,176,-11,253,Mastercard,Financial Services
Blaircc04821960,0,2022-11-28 08:13:07+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,109,178,-10,253,Mastercard,Financial Services
Masseya87470241,3,2022-11-28 08:12:58+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,107,176,-10,243,Mastercard,Financial Services
Claydd719389107,1,2022-11-28 08:12:51+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,92,161,-11,215,Mastercard,Financial Services
sarahrob78,775,2022-11-28 08:12:40+00:00,"RT @GiftBetterUK: IT’S #CYBERMONDAY i!  🖥👾

And we have a £25 Vanilla MasterCard up for grabs! https://t.co/5hCc2XfEOV

For your chance to…",Cybermonday,61,Essex,0.3786,positive,15146,15207,-4135,76372,Mastercard,Financial Services
tmj_fin_jobs,435,2022-11-28 08:12:22+00:00,"Interested in a job in #Helsinki, Uusimaa? This could be a great fit. Click the link in our bio to apply: Senior An… https://t.co/gMxbYYrwFz",Helsinki,0,Finland,0.8519,positive,0,0,178,796,Mastercard,Financial Services
Newtond13332517,1,2022-11-28 08:12:16+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,76,145,-10,195,Mastercard,Financial Services
SimonHe41189537,161,2022-11-28 08:12:06+00:00,"RT @GiftBetterUK: IT’S #CYBERMONDAY i!  🖥👾

And we have a £25 Vanilla MasterCard up for grabs! https://t.co/5hCc2XfEOV

For your chance to…",Cybermonday,61,United Kingdom,0.3786,positive,8426,8487,-3873,29967,Mastercard,Financial Services
Dayii7169367996,0,2022-11-28 08:12:05+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,95,164,-12,220,Mastercard,Financial Services
Thomasb31518658,1,2022-11-28 08:11:25+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,99,168,-9,237,Mastercard,Financial Services
MotlatsiPSetimo,2974,2022-11-28 08:11:01+00:00,@Uber @Mastercard @ChineseTheatres How long do you guys take to refund us? Your driver said I should cancel the rid… https://t.co/8WUYpSNPKr,None,0,,-0.25,negative,18910,18910,24,21545,Mastercard,Financial Services
Mcintyr24508017,0,2022-11-28 08:10:26+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,124,193,-14,275,Mastercard,Financial Services
Personx63225914,1,2022-11-28 08:10:22+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,121,190,-13,272,Mastercard,Financial Services
Lanejj089757663,0,2022-11-28 08:10:18+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,115,184,-14,256,Mastercard,Financial Services
Meadows37295770,0,2022-11-28 08:10:18+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,116,185,-10,264,Mastercard,Financial Services
Jimenez05970993,1,2022-11-28 08:10:11+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,123,192,-14,286,Mastercard,Financial Services
jobs3j,544,2022-11-28 08:10:03+00:00,RT @tmj_ide_jobs: Have you taken a career break and you’re ready to return to work? Apply for Mastercard’s 18-week immersive program for pr…,None,1,,0.3612,positive,56,57,523,58204,Mastercard,Financial Services
Liukk2716832835,0,2022-11-28 08:09:30+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,104,173,-13,232,Mastercard,Financial Services
Schroed25385217,1,2022-11-28 08:09:17+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,101,170,-15,224,Mastercard,Financial Services
Halenn120448702,1,2022-11-28 08:07:50+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,109,178,-12,254,Mastercard,Financial Services
Browncc37142429,1,2022-11-28 08:07:48+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,116,185,-14,255,Mastercard,Financial Services
William96598511,1,2022-11-28 08:07:45+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,90,159,-12,202,Mastercard,Financial Services
Hodgekk26650096,1,2022-11-28 08:07:43+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,104,173,-12,235,Mastercard,Financial Services
paulagnew18,478,2022-11-28 08:07:26+00:00,"RT @GiftBetterUK: IT’S #CYBERMONDAY i!  🖥👾

And we have a £25 Vanilla MasterCard up for grabs! https://t.co/5hCc2XfEOV

For your chance to…",Cybermonday,61,Durham ,0.3786,positive,48099,48160,-4442,117957,Mastercard,Financial Services
Crossjj28104878,0,2022-11-28 08:06:51+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,105,174,-13,244,Mastercard,Financial Services
TomEastMids,217,2022-11-28 08:06:48+00:00,"RT @GiftBetterUK: IT’S #CYBERMONDAY i!  🖥👾

And we have a £25 Vanilla MasterCard up for grabs! https://t.co/5hCc2XfEOV

For your chance to…",Cybermonday,61,Leicester ,0.3786,positive,991,1052,-1363,9098,Mastercard,Financial Services
Nguyeno15200919,1,2022-11-28 08:06:38+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,103,172,-12,240,Mastercard,Financial Services
Nortonx63750401,0,2022-11-28 08:05:46+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,107,176,-14,244,Mastercard,Financial Services
Howardf68694136,0,2022-11-28 08:05:18+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,98,167,-13,223,Mastercard,Financial Services
Churchb19052464,0,2022-11-28 08:05:15+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,93,162,-12,227,Mastercard,Financial Services
Mccormi72310723,0,2022-11-28 08:05:14+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,91,160,-18,206,Mastercard,Financial Services
Mercadouu841720,0,2022-11-28 08:05:07+00:00,"RT @voxto_amplify: A cross-ecosystem payment platform supporting #Web3 and Metaverse.  VISA, Mastercard or Google Pay, a variety of fiat cu…",Web3,69,,0.3612,positive,90,159,-14,199,Mastercard,Financial Services
